order_id,order_date,region,category,product,customer_segment,quantity,unit_price,discount,revenue,cost,profit
ORD-00001,2025-08-02,North,Electronics,Headphones,Corporate,1,149.0,0.2,119.2,69.34,49.86
ORD-00002,2025-01-21,North,Sports,Dumbbells,Corporate,1,34.99,0.0,34.99,16.89,18.1
ORD-00003,2025-05-17,North,Clothing,Dress,Wholesale,4,59.99,0.1,215.96,124.15,91.81
ORD-00004,2022-01-14,South,Sports,Treadmill,Wholesale,3,499.0,0.1,1347.3,722.0,625.3
ORD-00005,2022-07-29,North,Sports,Dumbbells,Retail,3,34.99,0.0,104.97,56.74,48.23
ORD-00006,2024-07-29,North,Sports,Dumbbells,Corporate,5,34.99,0.0,174.95,100.49,74.46
ORD-00007,2024-01-11,South,Electronics,Laptop,Retail,2,899.0,0.0,1798.0,1039.78,758.22
ORD-00008,2024-02-18,East,Sports,Treadmill,Corporate,2,499.0,0.0,998.0,502.28,495.72
ORD-00009,2023-07-01,North,Clothing,Dress,Wholesale,2,59.99,0.1,107.98,62.31,45.67
ORD-00010,2025-08-03,South,Home & Kitchen,Mixer,Wholesale,2,39.99,0.1,71.98,45.65,26.33
ORD-00011,2023-07-03,North,Clothing,Dress,Wholesale,3,59.99,0.1,161.97,98.68,63.29
ORD-00012,2025-08-09,West,Clothing,Jacket,Corporate,2,89.99,0.1,161.98,95.54,66.44
ORD-00013,2025-04-12,West,Sports,Treadmill,Retail,3,499.0,0.0,1497.0,788.06,708.94
ORD-00014,2022-04-07,North,Clothing,Jeans,Wholesale,4,49.99,0.1,179.96,91.89,88.07
ORD-00015,2025-05-05,West,Home & Kitchen,Lamp,Corporate,1,24.99,0.0,24.99,13.8,11.19
ORD-00016,2023-07-01,East,Electronics,Headphones,Corporate,3,149.0,0.0,447.0,265.1,181.9
ORD-00017,2023-06-24,South,Electronics,Headphones,Retail,5,149.0,0.0,745.0,377.03,367.97
ORD-00018,2025-01-09,North,Home & Kitchen,Vacuum,Wholesale,1,129.99,0.1,116.99,76.61,40.38
ORD-00019,2023-05-06,North,Clothing,Dress,Retail,1,59.99,0.0,59.99,33.58,26.41
ORD-00020,2024-12-26,South,Clothing,Sneakers,Corporate,5,79.99,0.0,399.95,195.88,204.07
ORD-00021,2024-05-16,South,Clothing,Jacket,Wholesale,4,89.99,0.2,287.97,197.07,90.9
ORD-00022,2024-11-25,West,Electronics,Smartphone,Retail,1,699.0,0.1,629.1,338.68,290.42
ORD-00023,2022-01-15,North,Electronics,Smartphone,Retail,1,699.0,0.0,699.0,321.98,377.02
ORD-00024,2023-07-25,West,Clothing,Dress,Retail,2,59.99,0.1,107.98,64.36,43.62
ORD-00025,2024-08-26,West,Clothing,T-Shirt,Wholesale,1,19.99,0.1,17.99,10.27,7.72
ORD-00026,2022-04-21,North,Electronics,Monitor,Retail,3,279.0,0.0,837.0,407.87,429.13
ORD-00027,2025-01-03,West,Clothing,Sneakers,Retail,2,79.99,0.0,159.98,92.98,67.0
ORD-00028,2024-06-26,North,Electronics,Tablet,Wholesale,1,329.0,0.1,296.1,156.26,139.84
ORD-00029,2024-09-12,South,Sports,Dumbbells,Wholesale,2,34.99,0.1,62.98,31.51,31.47
ORD-00030,2023-06-28,West,Home & Kitchen,Vacuum,Wholesale,6,129.99,0.1,701.95,369.08,332.87
ORD-00031,2023-03-22,North,Electronics,Headphones,Corporate,1,149.0,0.05,141.55,78.29,63.26
ORD-00032,2022-11-19,North,Electronics,Smartphone,Wholesale,1,699.0,0.2,559.2,404.91,154.29
ORD-00033,2022-09-03,South,Electronics,Tablet,Wholesale,1,329.0,0.1,296.1,175.94,120.16
ORD-00034,2023-06-19,South,Home & Kitchen,Coffee Maker,Corporate,3,59.99,0.05,170.97,84.52,86.45
ORD-00035,2023-09-07,West,Home & Kitchen,Mixer,Retail,1,39.99,0.1,35.99,23.97,12.02
ORD-00036,2025-01-06,South,Home & Kitchen,Coffee Maker,Wholesale,3,59.99,0.1,161.97,104.72,57.25
ORD-00037,2023-08-07,South,Sports,Resistance Band,Corporate,3,15.99,0.1,43.17,28.67,14.5
ORD-00038,2024-12-19,North,Home & Kitchen,Mixer,Retail,2,39.99,0.0,79.98,37.38,42.6
ORD-00039,2025-02-07,South,Home & Kitchen,Toaster,Retail,5,29.99,0.0,149.95,83.62,66.33
ORD-00040,2025-11-08,East,Sports,Treadmill,Wholesale,1,499.0,0.1,449.1,272.03,177.07
ORD-00041,2022-04-01,North,Home & Kitchen,Coffee Maker,Corporate,3,59.99,0.0,179.97,101.0,78.97
ORD-00042,2025-12-16,West,Electronics,Laptop,Wholesale,1,899.0,0.1,809.1,478.12,330.98
ORD-00043,2025-04-07,South,Sports,Yoga Mat,Retail,1,24.99,0.0,24.99,12.61,12.38
ORD-00044,2024-01-03,South,Clothing,T-Shirt,Wholesale,3,19.99,0.1,53.97,34.94,19.03
ORD-00045,2025-06-25,South,Clothing,Jeans,Corporate,2,49.99,0.05,94.98,45.36,49.62
ORD-00046,2023-11-12,West,Clothing,Jacket,Retail,2,89.99,0.0,179.98,91.32,88.66
ORD-00047,2024-08-21,South,Clothing,Sneakers,Retail,3,79.99,0.0,239.97,137.52,102.45
ORD-00048,2023-04-02,North,Clothing,Sneakers,Wholesale,3,79.99,0.1,215.97,139.1,76.87
ORD-00049,2023-12-21,West,Home & Kitchen,Mixer,Wholesale,1,39.99,0.1,35.99,19.07,16.92
ORD-00050,2022-03-20,North,Sports,Treadmill,Corporate,3,499.0,0.05,1422.15,809.77,612.38
ORD-00051,2022-08-25,West,Clothing,Jacket,Corporate,1,89.99,0.0,89.99,47.51,42.48
ORD-00052,2025-11-07,South,Home & Kitchen,Vacuum,Corporate,1,129.99,0.2,103.99,76.45,27.54
ORD-00053,2023-10-05,North,Home & Kitchen,Lamp,Wholesale,3,24.99,0.2,59.98,38.33,21.65
ORD-00054,2025-11-28,East,Clothing,Jeans,Corporate,4,49.99,0.2,159.97,118.19,41.78
ORD-00055,2022-12-23,East,Sports,Resistance Band,Wholesale,1,15.99,0.1,14.39,7.88,6.51
ORD-00056,2025-04-02,East,Sports,Water Bottle,Wholesale,4,12.99,0.2,41.57,25.05,16.52
ORD-00057,2022-12-14,North,Home & Kitchen,Lamp,Retail,5,24.99,0.0,124.95,57.98,66.97
ORD-00058,2025-10-09,East,Clothing,Jeans,Wholesale,2,49.99,0.1,89.98,45.68,44.3
ORD-00059,2025-06-05,North,Sports,Water Bottle,Wholesale,5,12.99,0.1,58.46,36.23,22.23
ORD-00060,2024-10-09,West,Clothing,Jeans,Retail,1,49.99,0.0,49.99,28.33,21.66
ORD-00061,2022-12-27,West,Electronics,Tablet,Corporate,2,329.0,0.0,658.0,375.2,282.8
ORD-00062,2024-12-23,East,Sports,Resistance Band,Corporate,5,15.99,0.05,75.95,45.94,30.01
ORD-00063,2024-07-02,South,Sports,Water Bottle,Wholesale,3,12.99,0.1,35.07,22.45,12.62
ORD-00064,2024-12-03,West,Clothing,Jacket,Wholesale,3,89.99,0.1,242.97,130.98,111.99
ORD-00065,2023-10-17,North,Clothing,Jeans,Corporate,2,49.99,0.05,94.98,55.4,39.58
ORD-00066,2023-03-15,North,Sports,Water Bottle,Retail,3,12.99,0.1,35.07,20.26,14.81
ORD-00067,2023-02-28,West,Sports,Resistance Band,Retail,1,15.99,0.1,14.39,8.11,6.28
ORD-00068,2023-12-22,East,Sports,Water Bottle,Corporate,5,12.99,0.2,51.96,36.38,15.58
ORD-00069,2023-03-28,West,Clothing,Jacket,Corporate,4,89.99,0.05,341.96,180.13,161.83
ORD-00070,2024-04-08,South,Sports,Yoga Mat,Wholesale,5,24.99,0.1,112.45,56.73,55.72
ORD-00071,2025-04-27,North,Electronics,Monitor,Wholesale,2,279.0,0.1,502.2,255.31,246.89
ORD-00072,2023-11-02,South,Sports,Treadmill,Wholesale,3,499.0,0.1,1347.3,736.13,611.17
ORD-00073,2023-06-01,North,Sports,Dumbbells,Wholesale,5,34.99,0.1,157.46,104.97,52.49
ORD-00074,2023-04-05,North,Electronics,Laptop,Retail,1,899.0,0.0,899.0,488.34,410.66
ORD-00075,2022-09-16,West,Electronics,Tablet,Corporate,1,329.0,0.0,329.0,156.33,172.67
ORD-00076,2022-08-23,South,Home & Kitchen,Mixer,Corporate,5,39.99,0.0,199.95,117.84,82.11
ORD-00077,2025-10-19,West,Sports,Yoga Mat,Corporate,1,24.99,0.2,19.99,12.16,7.83
ORD-00078,2023-09-10,North,Electronics,Headphones,Corporate,5,149.0,0.0,745.0,342.96,402.04
ORD-00079,2023-11-30,North,Sports,Water Bottle,Corporate,1,12.99,0.05,12.34,7.72,4.62
ORD-00080,2024-07-30,South,Sports,Yoga Mat,Corporate,5,24.99,0.2,99.96,61.29,38.67
ORD-00081,2024-09-17,West,Sports,Resistance Band,Retail,3,15.99,0.0,47.97,27.56,20.41
ORD-00082,2023-07-26,West,Clothing,Sneakers,Wholesale,6,79.99,0.1,431.95,240.19,191.76
ORD-00083,2023-10-28,South,Sports,Yoga Mat,Corporate,3,24.99,0.0,74.97,37.56,37.41
ORD-00084,2025-12-07,East,Electronics,Tablet,Corporate,1,329.0,0.2,263.2,168.11,95.09
ORD-00085,2023-05-08,West,Sports,Water Bottle,Retail,1,12.99,0.0,12.99,6.63,6.36
ORD-00086,2023-09-20,East,Sports,Resistance Band,Corporate,5,15.99,0.0,79.95,41.08,38.87
ORD-00087,2025-02-01,East,Home & Kitchen,Vacuum,Retail,3,129.99,0.0,389.97,190.19,199.78
ORD-00088,2023-01-30,East,Electronics,Tablet,Corporate,1,329.0,0.2,263.2,171.95,91.25
ORD-00089,2025-04-22,East,Electronics,Smartphone,Corporate,2,699.0,0.0,1398.0,692.49,705.51
ORD-00090,2024-12-29,South,Home & Kitchen,Mixer,Retail,1,39.99,0.1,35.99,19.75,16.24
ORD-00091,2025-07-30,West,Electronics,Laptop,Retail,5,899.0,0.0,4495.0,2147.06,2347.94
ORD-00092,2023-06-02,West,Electronics,Laptop,Retail,4,899.0,0.2,2876.8,1647.12,1229.68
ORD-00093,2025-02-26,East,Electronics,Smartphone,Corporate,1,699.0,0.05,664.05,378.12,285.93
ORD-00094,2023-04-08,West,Sports,Water Bottle,Corporate,4,12.99,0.05,49.36,25.76,23.6
ORD-00095,2022-05-04,North,Clothing,Jeans,Retail,3,49.99,0.2,119.98,69.31,50.67
ORD-00096,2022-12-22,North,Clothing,T-Shirt,Wholesale,4,19.99,0.1,71.96,44.25,27.71
ORD-00097,2023-08-20,North,Clothing,Jacket,Retail,3,89.99,0.2,215.98,156.3,59.68
ORD-00098,2025-11-08,South,Home & Kitchen,Lamp,Retail,2,24.99,0.05,47.48,23.35,24.13
ORD-00099,2025-08-19,South,Home & Kitchen,Coffee Maker,Wholesale,1,59.99,0.1,53.99,28.49,25.5
ORD-00100,2025-05-03,East,Sports,Dumbbells,Wholesale,4,34.99,0.2,111.97,69.37,42.6
ORD-00101,2023-07-12,West,Sports,Dumbbells,Corporate,4,34.99,0.05,132.96,78.4,54.56
ORD-00102,2023-05-28,North,Electronics,Smartphone,Corporate,5,699.0,0.0,3495.0,2096.78,1398.22
ORD-00103,2023-07-06,North,Clothing,Sneakers,Wholesale,5,79.99,0.2,319.96,206.51,113.45
ORD-00104,2023-01-07,West,Sports,Dumbbells,Retail,4,34.99,0.0,139.96,69.72,70.24
ORD-00105,2022-11-26,East,Sports,Water Bottle,Corporate,3,12.99,0.2,31.18,23.06,8.12
ORD-00106,2022-03-17,West,Electronics,Headphones,Retail,4,149.0,0.05,566.2,345.52,220.68
ORD-00107,2025-09-08,West,Sports,Dumbbells,Corporate,2,34.99,0.1,62.98,39.43,23.55
ORD-00108,2024-06-24,North,Clothing,Jacket,Wholesale,5,89.99,0.1,404.95,265.09,139.86
ORD-00109,2025-12-01,West,Electronics,Laptop,Corporate,8,899.0,0.0,7192.0,3830.65,3361.35
ORD-00110,2024-04-15,North,Clothing,T-Shirt,Retail,4,19.99,0.0,79.96,43.75,36.21
ORD-00111,2024-10-17,East,Home & Kitchen,Vacuum,Corporate,4,129.99,0.05,493.96,252.99,240.97
ORD-00112,2022-10-24,West,Clothing,Dress,Wholesale,7,59.99,0.1,377.94,243.39,134.55
ORD-00113,2024-04-29,East,Home & Kitchen,Mixer,Corporate,3,39.99,0.2,95.98,59.36,36.62
ORD-00114,2025-04-02,West,Clothing,Sneakers,Corporate,6,79.99,0.0,479.94,255.71,224.23
ORD-00115,2024-02-12,West,Home & Kitchen,Coffee Maker,Wholesale,2,59.99,0.1,107.98,69.4,38.58
ORD-00116,2022-03-31,East,Sports,Water Bottle,Corporate,4,12.99,0.2,41.57,29.56,12.01
ORD-00117,2022-11-08,West,Electronics,Smartphone,Wholesale,6,699.0,0.1,3774.6,2437.25,1337.35
ORD-00118,2022-07-24,West,Electronics,Smartphone,Wholesale,8,699.0,0.1,5032.8,2910.21,2122.59
ORD-00119,2023-11-25,West,Electronics,Headphones,Wholesale,4,149.0,0.2,476.8,347.54,129.26
ORD-00120,2025-01-13,North,Electronics,Smartphone,Retail,4,699.0,0.2,2236.8,1296.11,940.69
ORD-00121,2025-07-21,North,Sports,Yoga Mat,Retail,3,24.99,0.0,74.97,34.25,40.72
ORD-00122,2023-08-24,East,Home & Kitchen,Vacuum,Corporate,2,129.99,0.0,259.98,137.7,122.28
ORD-00123,2025-10-28,South,Clothing,Jeans,Corporate,1,49.99,0.1,44.99,29.03,15.96
ORD-00124,2025-10-31,South,Sports,Resistance Band,Wholesale,2,15.99,0.1,28.78,16.6,12.18
ORD-00125,2024-07-30,East,Electronics,Monitor,Wholesale,3,279.0,0.1,753.3,385.92,367.38
ORD-00126,2025-04-18,East,Sports,Treadmill,Wholesale,4,499.0,0.1,1796.4,957.85,838.55
ORD-00127,2024-09-16,North,Clothing,Sneakers,Corporate,5,79.99,0.0,399.95,214.46,185.49
ORD-00128,2023-08-28,North,Sports,Treadmill,Corporate,1,499.0,0.1,449.1,289.3,159.8
ORD-00129,2022-04-11,West,Home & Kitchen,Coffee Maker,Corporate,7,59.99,0.0,419.93,229.07,190.86
ORD-00130,2023-05-29,South,Electronics,Laptop,Corporate,3,899.0,0.0,2697.0,1448.12,1248.88
ORD-00131,2022-09-27,North,Home & Kitchen,Toaster,Corporate,4,29.99,0.0,119.96,57.6,62.36
ORD-00132,2024-01-20,East,Clothing,Jacket,Wholesale,4,89.99,0.1,323.96,202.29,121.67
ORD-00133,2022-08-24,West,Electronics,Smartphone,Corporate,3,699.0,0.05,1992.15,1247.9,744.25
